State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Sex Ratio,Literacy Rate,Male Literacy Rate,Female Literacy Rate
Bihar,Madhubani,26.41380538172716,86.16328360450552,4487379,2329313,2158066,2155338,1340085,815253,587158,3990,3652168,818912,3262,564,328,442,169,11534,1047552,41234,771417,520875,303114,170563,137780,2860455,1009424,611899,5601,20753,102414,123167,108433,441220,157322,108,48,58,38
Bihar,Munger,25.198537962962963,86.54173672839504,1367765,729041,638724,801817,473741,328076,183846,21404,1252319,110416,1815,338,95,145,61,2576,222281,85782,158699,146414,147152,101907,64469,860147,316713,188319,2586,4944,23445,28389,30778,130791,47936,114,59,65,51
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,4801062,2527497,2273565,2509232,1487117,1022115,751975,5979,4032773,745546,5149,933,288,382,98,15893,998694,120700,743623,419433,299475,194920,138916,3016735,1079189,697108,8030,22443,104046,126489,114417,459200,164807,111,52,59,45
Bihar,Nalanda,25.229345508982053,85.48053113772461,2877653,1497060,1380593,1519933,919558,600375,607672,1442,2669775,198033,1978,393,414,561,64,6435,514141,102522,486266,320839,274556,177358,133032,1829128,642197,403129,3199,9824,33798,43622,39387,191481,68723,108,53,61,43
Bihar,Nawada,24.825708836206903,85.61594568965519,2219146,1144668,1074478,1091012,659474,431538,565112,2045,1964620,244394,1299,250,176,279,80,8048,379551,45323,368649,195072,161127,95943,64585,1440781,485628,288805,3932,5117,19722,24839,23197,117974,40493,107,49,58,40
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,3935042,2061110,1873932,1759481,1091226,668255,553944,250046,3047427,865090,8469,926,1337,296,1895,9602,839514,96620,543965,250243,159563,98732,70669,2544205,888205,497793,4839,18044,66944,84988,70446,299420,102964,110,45,53,36
Bihar,Patna,25.40297114503818,85.3198433587787,5838465,3078512,2759953,3459679,2028047,1431632,920918,9069,5356075,439952,12551,4803,1062,2151,203,21668,657991,552103,1095655,920051,698351,463361,452340,3626564,1382654,815638,13609,17629,60489,78118,83095,411646,153095,112,59,66,52
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,5099371,2681209,2418162,2276957,1407603,869354,649726,12461,4086453,990349,4865,668,878,464,104,15590,1142260,101565,982506,450631,241118,121594,68781,3316422,1122340,648009,12600,20306,110085,130391,115248,447128,155286,111,45,52,36
Bihar,Purnia,25.81714801901739,87.40447606973065,3264619,1699370,1565249,1332326,805261,527065,390991,139490,1989420,1255641,7989,614,353,1450,650,8502,712847,85749,360243,184327,119259,83226,59996,2155512,696556,372692,39859,17045,75176,92221,82784,304012,107266,109,41,47,34
Bihar,Rohtas,24.99170460829495,83.9350762672811,2959918,1543546,1416372,1799832,1061783,738049,549546,31650,2645415,300487,2889,2569,1584,252,537,6185,512383,95678,548971,399053,333053,194928,161555,1875174,673742,407193,3809,8103,27143,35246,32977,166203,57298,109,61,69,52
Bihar,Saharsa,25.821270696721303,86.54670819672135,1900661,997174,903487,804996,506374,298622,317249,6009,1629254,266620,1292,197,60,109,8,3121,432651,38046,194897,104182,90182,64560,47051,1249692,415863,233870,1236,5742,39031,44773,43608,179102,64222,110,42,51,33
Bihar,Samastipur,25.793205563909765,85.94833323308269,4261566,2230003,2031563,2142880,1293575,849305,803128,1884,3800598,452370,2126,554,292,231,112,5283,1012979,43486,710468,438908,284082,186153,129933,2766930,913339,568812,12485,19043,94848,113891,100052,404835,142305,110,50,58,42
Bihar,Saran,25.89656077844312,84.82266287425155,3951862,2022821,1929041,2157454,1285767,871687,474066,36786,3534772,406449,2330,371,229,322,107,7282,701323,76299,693465,433759,361171,213251,148065,2516115,847031,585386,3330,13380,38867,52247,47876,226877,77631,105,55,64,45
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,636342,329743,306599,328676,196431,132245,131115,617,596102,37653,313,75,41,43,31,2084,108293,24345,110525,59529,52860,33856,19676,413475,136898,85045,924,1918,6427,8345,7547,36901,12786,108,52,60,43
Bihar,Sheohar,26.458380748663107,85.29539411764709,656246,346673,309573,283698,171645,112053,96655,318,552492,99342,522,216,73,52,44,3505,158484,7516,91277,37063,25657,16031,10091,421241,139909,93398,1698,6732,26938,33670,22278,71746,25002,112,43,50,36
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,3423574,1803252,1620322,1436794,885188,551606,405714,2989,2672311,740101,2897,261,253,188,20,7543,807294,49670,394422,196321,136500,92783,70549,2206340,739982,449035,28217,23067,113986,137053,102555,357069,125274,111,42,49,34
Bihar,Siwan,26.1736372013652,84.33766552901022,3330464,1675090,1655374,1930175,1115906,814269,386685,87000,2712635,608282,2618,369,407,359,86,5708,632514,41858,612635,445257,355277,186817,119164,2115448,713597,498299,3120,10879,31553,42432,39746,191273,65249,101,58,67,49
